feature
feature.BETA10
feature.BETA20
feature.BETA30
feature.BETA5
feature.BETA60
feature.CNTD10
feature.CNTD20
feature.CNTD30
feature.CNTD5
feature.CNTD60
feature.CNTN10
feature.CNTN20
feature.CNTN30
feature.CNTN5
feature.CNTN60
feature.CNTP10
feature.CNTP20
feature.CNTP30
feature.CNTP5
feature.CNTP60
feature.CORD10
feature.CORD20
feature.CORD30
feature.CORD5
feature.CORD60
feature.CORR10
feature.CORR20
feature.CORR30
feature.CORR5
feature.CORR60
feature.HIGH0
feature.IMAX10
feature.IMAX20
feature.IMAX30
feature.IMAX5
feature.IMAX60
feature.IMIN10
feature.IMIN20
feature.IMIN30
feature.IMIN5
feature.IMIN60
feature.IMXD10
feature.IMXD20
feature.IMXD30
feature.IMXD5
feature.IMXD60
feature.KLEN
feature.KLOW
feature.KLOW2
feature.KMID
feature.KMID2
feature.KSFT
feature.KSFT2
feature.KUP
feature.KUP2
feature.LOW0
feature.MA10
feature.MA20
feature.MA30
feature.MA5
feature.MA60
feature.MAX10
feature.MAX20
feature.MAX30
feature.MAX5
feature.MAX60
feature.MIN10
feature.MIN20
feature.MIN30
feature.MIN5
feature.MIN60
feature.OPEN0
feature.QTLD10
feature.QTLD20
feature.QTLD30
feature.QTLD5
feature.QTLD60
feature.QTLU10
feature.QTLU20
feature.QTLU30
feature.QTLU5
feature.QTLU60
feature.RANK10
feature.RANK20
feature.RANK30
feature.RANK5
feature.RANK60
feature.RESI10
feature.RESI20
feature.RESI30
feature.RESI5
feature.RESI60
feature.ROC10
feature.ROC20
feature.ROC30
feature.ROC5
feature.ROC60
feature.RSQR10
feature.RSQR20
feature.RSQR30
feature.RSQR5
feature.RSQR60
feature.RSV10
feature.RSV20
feature.RSV30
feature.RSV5
feature.RSV60
feature.STD10
feature.STD20
feature.STD30
feature.STD5
feature.STD60
feature.SUMD10
feature.SUMD20
feature.SUMD30
feature.SUMD5
feature.SUMD60
feature.SUMN10
feature.SUMN20
feature.SUMN30
feature.SUMN5
feature.SUMN60
feature.SUMP10
feature.SUMP20
feature.SUMP30
feature.SUMP5
feature.SUMP60
feature.VMA10
feature.VMA20
feature.VMA30
feature.VMA5
feature.VMA60
feature.VSTD10
feature.VSTD20
feature.VSTD30
feature.VSTD5
feature.VSTD60
feature.VSUMD10
feature.VSUMD20
feature.VSUMD30
feature.VSUMD5
feature.VSUMD60
feature.VSUMN10
feature.VSUMN20
feature.VSUMN30
feature.VSUMN5
feature.VSUMN60
feature.VSUMP10
feature.VSUMP20
feature.VSUMP30
feature.VSUMP5
feature.VSUMP60
feature.VWAP0
feature.WVMA10
feature.WVMA20
feature.WVMA30
feature.WVMA5
feature.WVMA60
feature.fund__book_to_market_ratio_lyr
feature.fund__ep_ratio_ttm
feature.fund__ev_lf
feature.fund__ev_lyr
feature.fund__ev_no_cash_ttm
feature.fund__ev_ttm
feature.fund__inc_book_per_share_ttm
feature.fund__income_from_main_operations_lyr
feature.fund__inventory_turnover_ttm
feature.fund__invested_capital_lf
feature.fund__invested_capital_lyr
feature.fund__market_cap
feature.fund__market_cap_2
feature.fund__market_cap_3
feature.fund__pb_ratio_lyr
