epoch,train_loss,train_ret,train_ce,gate_lam,train_gate,val_loss,val_ret,val_ce,val_ic,val_rankic,val_acc,epoch_time_s
1,1.31706331,0.01043564,1.30662767,0.000000e+00,0.88050458,1.08207794,0.00110581,1.08097213,0.00123416,0.00252978,0.56316471,98.37
2,1.09951602,0.00219893,1.09731709,0.000000e+00,0.87995595,1.05287940,0.00089354,1.05198586,0.00057648,0.00089358,0.57054912,99.98
